Date,Food Item,Quantity Donated,Quantity Requested,Expiration Date,Seasonality,Holidays,Market Prices,Disaster Events,Recipient Preferences,Delivery Time,Food Waste Rate,Distance Traveled (km),Transportation Mode,Storage Duration (days),Energy Used in Storage (kWh),Carbon Footprint,Fuel Type,Logistics Cost,Packaging Type,Refrigeration Required
1126,3,1.7436471201135992,0.008241193472541056,1309,-0.21780799919516589,-1.087844710212408,-0.20786310130794658,1.9228214593850137,1.7187789256436634,0.12865961728208825,0.05364267149708741,1.0004229510049119,2,1.3470295565983355,0.8282603571502155,0.12553222390180785,1,1.5274152403444425,3,-0.596600539213493
1459,5,0.0032209041573498668,-0.4804215228715554,1553,-0.2721351710421274,0.9192488510650975,-1.3601596055227814,1.9228214593850137,1.7187789256436634,0.8662793638267179,0.35299386354109796,1.606908152326326,1,0.36428050478201474,-0.021471447480020122,0.04541606480728557,1,1.88996727891825,3,-0.596600539213493
860,1,1.8180243088296784,1.7426497078206016,1112,-0.21780799919516589,0.9192488510650975,-0.0022651616610034077,-0.4079418478485554,0.21812067651137784,0.04796004130250664,-0.18731734044930298,-0.2692096102686695,3,1.7155604510294558,0.5467320823785028,-0.21404071753476597,0,-0.0014180826558036247,1,-0.596600539213493
1294,3,-1.8190202193865865,-1.6711067331184382,1598,-0.36042528549854064,0.9192488510650975,-0.420315682555202,-0.4079418478485554,1.343614363360592,-1.1646227533389282,0.5440575552042647,-1.2784979929997664,1,0.24143687330497468,-0.6329457367021843,-0.35648437101814107,1,-1.2514279543189477,0,-0.596600539213493
1130,6,-1.7595184684137233,-1.2925651922885044,1245,-0.3218253221814432,0.9192488510650975,1.0251982240208308,-0.4079418478485554,-0.9073730103378363,-0.6681549720084389,3.2740091678874177,-0.3536818398658318,1,-1.6012175988506265,-1.0681038266586773,-0.48304015540770345,1,-0.7794522913036751,2,-0.596600539213493
1095,0,0.0032209041573498668,0.6207902322700704,1212,-0.8975703143243395,0.9192488510650975,-0.9696821871627341,-0.4079418478485554,-0.15704388577169354,0.34854201434502413,-0.7872609978400604,-0.42074583107800173,2,-0.24993765260318568,1.5518497510216553,-0.3320158452660041,1,-0.5274828612342286,2,1.6761634196950517
1724,5,0.6205515705008059,1.205808977189059,1751,-0.829068094667457,-1.087844710212408,-0.9399610093817582,-0.4079418478485554,1.7187789256436634,0.12651117354733574,-1.0524760475819988,0.15313394007409584,2,-0.864155809988386,-0.8405544394507187,-0.44739358202069923,1,-0.11022146322893255,2,-0.596600539213493
1044,5,0.999875232952809,0.5381993506344485,1168,-0.21780799919516589,-1.087844710212408,-1.1053493178040075,-0.4079418478485554,-1.2825375726209076,-1.1512891780535977,-0.31888135162720654,0.005866374833220171,0,-0.24993765260318568,-0.2613971565764199,-0.3953680221724115,1,-1.258898718465078,3,-0.596600539213493
1638,8,0.0032209041573498668,0.7584417016627736,1778,-0.9094997878598949,-1.087844710212408,-0.9821669945065072,-0.4079418478485554,-1.657702134903979,-0.5688636911400666,-0.15508737856212682,-0.5224299721595036,4,1.7155604510294558,-0.3889155380987578,1.0395658387789892,0,-0.16503006215007848,2,-0.596600539213493
121,8,1.0370638273108486,0.4624910424684617,361,-0.6643807096510227,0.9192488510650975,0.7445259902356164,-0.4079418478485554,-1.657702134903979,1.588409444934057,-0.9708574296722471,1.5731141301127454,2,-0.864155809988386,-0.8744717860771196,-0.35648437101814107,1,1.2794377750844332,0,-0.596600539213493
466,5,-0.7554264207466563,0.008241193472541056,750,-0.06846505273260446,-1.087844710212408,0.339715794061898,-0.4079418478485554,0.9684498010775205,0.13476916735203434,-0.27937813566327185,1.2453190555113776,2,-0.9869994414654262,-0.5932747420272603,-0.4131690474809576,1,0.9297692807899045,0,-0.596600539213493
1806,6,0.7767436668045719,1.1645135363712482,1448,-0.13196160310664265,0.9192488510650975,-1.4472023366294067,1.9228214593850137,-0.15704388577169354,-0.10866630866059718,3.3364387598961978,-1.3954064269269422,1,0.11859324182793458,-0.4238303157040924,0.07509174771804035,1,-1.1059843433627232,3,-0.596600539213493
330,6,0.613113851629198,0.7515591281931384,469,-0.20958049751911706,0.9192488510650975,-1.3991942097502124,-0.4079418478485554,0.21812067651137784,-1.4232801707397267,4.852163125673941,-1.6693812435720035,3,-0.0042503896491055005,-0.027492474691251375,-0.15874751752797162,0,-1.691710352070974,0,-0.596600539213493
1482,4,0.4197331609673925,0.0013586200029058954,1765,4.003666825084257,-1.087844710212408,-1.1284991500633266,-0.4079418478485554,-1.2825375726209076,-0.3967031830742954,-0.27206331699692277,0.2717673925562683,3,-1.1098430729424662,-0.6447389082014537,-0.35648437101814107,0,-0.051866909253303985,1,-0.596600539213493
87,0,-0.8000527339763037,-1.0860879881994496,113,-0.21780799919516589,0.9192488510650975,-0.8571616201531294,-0.4079418478485554,1.7187789256436634,-0.10866630866059718,-1.215740555916173,1.3188980873714087,2,-1.7240612303276668,-1.1324881156871986,-0.6847182942105259,1,0.8285400472057202,3,-0.596600539213493
1396,7,1.2750708312023014,1.2677521384157755,1472,-0.09313471660908426,0.9192488510650975,-1.3235189234865417,-0.4079418478485554,-0.15704388577169354,-0.37141456534550404,0.2729473604062588,0.17073391593820597,1,-1.2326867044195062,-0.8999056312172939,-0.5058596036916118,1,-0.17961586428748197,2,-0.596600539213493
1123,6,0.0032209041573498668,1.3434604465817623,1304,-0.11232390322684428,0.9192488510650975,-1.2979692913939376,-0.4079418478485554,-0.532208448054765,-0.4854024413802887,3.2089098293231255,-0.6301158314983725,1,0.36428050478201474,-0.2613971565764199,-0.15771179836495303,1,-0.5880178950928228,3,-0.596600539213493
871,0,0.38254456660935293,0.26977898531867717,1144,-0.0939758808524406,0.9192488510650975,-0.22388526314354873,-0.4079418478485554,-0.15704388577169354,2.576211372729369,0.24213680153203285,1.7732595400102424,3,1.2241859251212954,0.14092590595352214,-0.32967379618575987,0,1.9661479887645381,2,-0.596600539213493
1687,6,-0.4951062602403797,-0.19823601061651377,1305,-0.21780799919516589,0.9192488510650975,-1.4668676063874815,-0.4079418478485554,-0.15704388577169354,-1.5356593000744194,-0.13889943928687265,0.005866374833220171,0,-0.0042503896491055005,-1.0261258921916239,-0.35648437101814107,1,-2.22379480257405,3,-0.596600539213493
